Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,ExplicitOld,Popularity,Added By,Added At,Genres,,,,,,Explicit
spotify:track:5pCCNkuE4nTvEjKl64U7UE,Intro: I Switched My Robot Off,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,spotify:album:0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-04-28,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,1,1,24013,,FALSE,9,spotify:user:adanias,2022-10-21T18:29:14Z,alternative hip hop,,,,,,FALSE
spotify:track:2bBMODHVTXGwE2aZYfbgCt,Ascension (feat. Vince Staples),"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:68kEuyFKyqrdQQLLsmiatm","Gorillaz, Vince Staples",spotify:album:0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-04-28,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,1,2,155973,https://p.scdn.co/mp3-preview/e1d2cb16d18099abc7e2d699ceda66956d63b29d?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,61,spotify:user:adanias,2022-10-21T18:29:14Z,"alternative hip hop,conscious hip hop,escape room,hip hop,rap,underground hip hop",,,,,,TRUE
spotify:track:6XGddj522FQRHXEhBtjiJu,Strobelite (feat. Peven Everett),"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:0v2oB2xMS64U3lcU5DFuCY","Gorillaz, Peven Everett",spotify:album:0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-04-28,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,1,3,272666,https://p.scdn.co/mp3-preview/34e72198787003a038d9088117ab70b4dce4555e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,59,spotify:user:adanias,2022-10-21T18:29:14Z,"alternative hip hop,deep house,neo soul,soulful house",,,,,,FALSE
spotify:track:7l9CE3wmEGOUYw1j4ETjnL,Saturnz Barz (feat. Popcaan),"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:62DmErcU7dqZbJaDqwsqzR","Gorillaz, Popcaan",spotify:album:0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-04-28,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,1,4,181906,https://p.scdn.co/mp3-preview/c3c5c926cbe830c35aa7ce84f09dfc97f1d1f06f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,66,spotify:user:adanias,2022-10-21T18:29:14Z,"alternative hip hop,dancehall,jamaican hip hop,reggae fusion,traphall",,,,,,FALSE
spotify:track:2RCp9QBnFSxdKe8RD4xF8s,Momentz (feat. De La Soul),"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:1Z8ODXyhEBi3WynYw0Rya6","Gorillaz, De La Soul",spotify:album:0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-04-28,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,1,5,196906,https://p.scdn.co/mp3-preview/b865ba91ec81a6d2dfa24b4d8fc0e1fe50706731?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,53,spotify:user:adanias,2022-10-21T18:29:14Z,"alternative hip hop,east coast hip hop,gangster rap,golden age hip hop,hardcore hip hop,hip hop,jazz rap,rap",,,,,,TRUE
spotify:track:0SOFBIQK3vOn3y7Yq0Bwzx,Interlude: The Non-Conformist Oath,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,spotify:album:0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-04-28,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,1,6,21733,,FALSE,4,spotify:user:adanias,2022-10-21T18:29:14Z,alternative hip hop,,,,,,FALSE
spotify:track:2W4yTO3qHdqyvbz2UxfIPh,Submission (feat. Danny Brown & Kelela),"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:7aA592KWirLsnfb5ulGWvU, spotify:artist:1U0sIzpRtDkvu1hXXzxh60","Gorillaz, Danny Brown, Kelela",spotify:album:0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-04-28,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,1,7,201573,https://p.scdn.co/mp3-preview/dd0164723c41585fe465f24f664a22cf0522b2b8?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,51,spotify:user:adanias,2022-10-21T18:29:14Z,"alternative hip hop,detroit hip hop,escape room,hip hop,rap,underground hip hop,afrofuturism,alternative r&b,art pop,electropop,experimental r&b,indie soul,r&b",,,,,,FALSE
spotify:track:2CJ6CRzuRQd46asE1ucuVD,Charger (feat. Grace Jones),"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:2f9ZiYA2ic1r1voObUimdd","Gorillaz, Grace Jones",spotify:album:0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-04-28,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,1,8,214386,https://p.scdn.co/mp3-preview/0aa36755f50e6a3cec3060c892bcef646960d5ed?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,51,spotify:user:adanias,2022-10-21T18:29:14Z,"alternative hip hop,dance pop,disco,new romantic,new wave pop,synthpop",,,,,,FALSE
spotify:track:5vN4teJoROMQoadL4IzejG,Interlude: Elevator Going Up,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,spotify:album:0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-04-28,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,1,9,4853,,FALSE,1,spotify:user:adanias,2022-10-21T18:29:14Z,alternative hip hop,,,,,,FALSE
spotify:track:2C0KFbb4v9CNWR5c9jWcKC,Andromeda (feat. DRAM),"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:5M0lbkGluOPXLeFjApw8r8","Gorillaz, DRAM",spotify:album:0NvirtaDCaZU5PAW1O5FDE,Humanz (Deluxe),spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2017-04-28,https://i.scdn.co/image/ab67616d0000b273a5952c0e2e649f588603b743,1,10,197546,https://p.scdn.co/mp3-preview/1c2085325025493486de59121dfc6ed52bcc298d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,66,spotify:user:adanias,2022-10-21T18:29:14Z,"alternative hip hop,pop rap,rap,virginia hip hop",,,,,,FALSE
